Cell,OCV,TailVolt,Diff,Group
57,3.846451,3.9556274545454504,0.10917645454545401,0
144,3.861249,3.9411145454545498,0.0798655454545454,0
107,3.8448830000000003,3.9475379999999998,0.10265499999999901,0
127,3.8556385000000004,3.93674018181818,0.0811016818181818,0
114,3.838023,3.93687381818182,0.0988508181818184,0
174,3.8574269999999995,3.9397336363636404,0.0823066363636364,0
34,3.83915,3.93645509090909,0.0973050909090909,0
188,3.8588970000000002,3.94619272727273,0.0872957272727271,0
95,3.8409385,3.93687381818182,0.0959353181818181,0
66,3.8462305,3.936758,0.0905274999999999,0
72,3.8428495000000003,3.9375063636363596,0.0946568636363638,0
124,3.8601464999999995,3.95238454545455,0.0922380454545455,0
21,3.8411589999999998,3.93510981818182,0.0939508181818183,0
9,3.8335885000000003,3.92663727272727,0.0930487727272733,0
20,3.839689,3.9330696363636406,0.0933806363636362,0
117,3.8422125,3.93595618181818,0.0937436818181818,0
110,3.844589,3.93727472727273,0.0926857272727273,0
42,3.8420165,3.93627690909091,0.0942604090909094,0
103,3.8451035000000005,3.93674909090909,0.0916455909090907,0
111,3.8432904999999997,3.93879818181818,0.0955076818181819,0
17,3.83964,3.92830327272727,0.0886632727272727,0
89,3.8416245000000004,3.9379696363636403,0.0963451363636363,0
143,3.8603915,3.9442149090909098,0.0838234090909089,0
11,3.8361120000000004,3.9342545454545497,0.0981425454545453,0
139,3.8567165,3.9380943636363597,0.081377863636364,0
49,3.8460834999999998,3.9470123636363597,0.100928863636363,0
183,3.8565449999999997,3.93690945454545,0.0803644545454549,0
3,3.8299135000000004,3.93559981818182,0.10568631818181802,0
104,3.8436334999999997,3.9524914545454504,0.108857954545455,1
130,3.8573779999999998,3.937444,0.0800660000000004,1
93,3.8385865,3.9411145454545498,0.102528045454545,1
126,3.8563,3.93746181818182,0.0811618181818186,1
118,3.8410365,3.93981381818182,0.0987773181818183,1
152,3.8647035000000005,3.94702127272727,0.0823177727272721,1
58,3.8670065,3.96387727272727,0.0968707727272728,1
39,3.8445400000000003,3.93190254545455,0.0873625454545452,1
85,3.8416,3.937444,0.095844,1
40,3.8444175000000005,3.93527909090909,0.0908615909090909,1
62,3.8414285,3.93600072727273,0.0945722272727272,1
31,3.8421144999999997,3.9344059999999996,0.0922915,1
23,3.8418205000000003,3.93568890909091,0.0938684090909092,1
82,3.8448585,3.93795181818182,0.0930933181818183,1
56,3.8431434999999996,3.9364372727272703,0.0932937727272725,1
19,3.8397135000000002,3.93350618181818,0.09379268181818198,1
83,3.845471,3.93805872727273,0.0925877272727273,1
15,3.835524,3.9298445454545496,0.0943205454545453,1
37,3.8449565000000003,3.93644618181818,0.0914896818181821,1
45,3.841453,3.93706981818182,0.09561681818181801,1
176,3.8603669999999997,3.94820618181818,0.0878391818181816,1
7,3.8305260000000003,3.92694018181818,0.0964141818181816,1
168,3.862278,3.9457205454545496,0.0834425454545453,1
59,3.8453485,3.9439743636363596,0.0986258636363635,1
184,3.8581375,3.9393594545454502,0.0812219545454549,1
46,3.8438295,3.9455245454545405,0.101695045454545,1
129,3.857476,3.93782709090909,0.0803510909090912,1
84,3.8405955,3.9477696363636405,0.107174136363636,1
119,3.8455934999999997,3.95348927272727,0.107895772727272,2
134,3.8572065,3.93731927272727,0.08011277272727299,2
100,3.84111,3.943422,0.102312,2
137,3.8575985,3.9387625454545496,0.0811640454545457,2
18,3.838317,3.9370519999999996,0.098735,2
172,3.8603669999999997,3.94272709090909,0.0823600909090909,2
2,3.8315794999999997,3.9282676363636404,0.0966881363636363,2
200,3.85875,3.94614818181818,0.0873981818181817,2
91,3.839542,3.93531472727273,0.0957727272727276,2
30,3.8453730000000004,3.93631254545455,0.0909395454545456,2
61,3.8396644999999996,3.93420109090909,0.0945365909090907,2
28,3.8420655,3.9343881818181803,0.0923226818181817,2
36,3.8418940000000004,3.93573345454545,0.0938394545454546,2
44,3.8446135000000004,3.93778254545455,0.0931690454545455,2
24,3.842335,3.9355730909090902,0.0932380909090904,2
81,3.841943,3.93576018181818,0.0938171818181819,2
54,3.8383905,3.9307978181818197,0.0924073181818179,2
73,3.8432660000000003,3.9377558181818197,0.0944898181818181,2
52,3.8465245,3.9375419999999997,0.0910175,2
70,3.8401300000000003,3.93576018181818,0.0956301818181817,2
187,3.85875,3.9463976363636406,0.0876476363636365,2
79,3.8468430000000002,3.94343090909091,0.0965879090909092,2
128,3.8575004999999996,3.94055327272727,0.0830527727272727,2
97,3.8460589999999995,3.9447316363636404,0.0986726363636365,2
177,3.8585295,3.93972472727273,0.0811952272727274,2
105,3.8411345,3.942932,0.1017975,2
170,3.8583825,3.93851309090909,0.080130590909091,2
69,3.8387335,3.94656690909091,0.107833409090909,2
69,3.8387335,3.94656690909091,0.107833409090909,3
170,3.8583825,3.93851309090909,0.080130590909091,3
105,3.8411345,3.942932,0.1017975,3
177,3.8585295,3.93972472727273,0.0811952272727274,3
97,3.8460589999999995,3.9447316363636404,0.0986726363636365,3
128,3.8575004999999996,3.94055327272727,0.0830527727272727,3
79,3.8468430000000002,3.94343090909091,0.0965879090909092,3
187,3.85875,3.9463976363636406,0.0876476363636365,3
70,3.8401300000000003,3.93576018181818,0.0956301818181817,3
52,3.8465245,3.9375419999999997,0.0910175,3
73,3.8432660000000003,3.9377558181818197,0.0944898181818181,3
54,3.8383905,3.9307978181818197,0.0924073181818179,3
81,3.841943,3.93576018181818,0.0938171818181819,3
24,3.842335,3.9355730909090902,0.0932380909090904,3
44,3.8446135000000004,3.93778254545455,0.0931690454545455,3
