"","OCV","TailVolt","Diff"
"1",3.8345195,3.92792018181818,0.0934006818181818
"2",3.8315795,3.92826763636364,0.0966881363636363
"3",3.8299135,3.93559981818182,0.105686318181818
"4",3.832045,3.92625418181818,0.0942091818181816
"5",3.8327065,3.92245890909091,0.0897524090909094
"6",3.831751,3.92944363636364,0.0976926363636359
"7",3.830526,3.92694018181818,0.0964141818181816
"8",3.8343725,3.92612945454545,0.0917569545454548
"9",3.8335885,3.92663727272727,0.0930487727272733
"10",3.835524,3.92949709090909,0.0939730909090906
"11",3.836112,3.93425454545455,0.0981425454545453
"12",3.836063,3.92594236363636,0.0898793636363635
"13",3.82886,3.92636109090909,0.0975010909090908
"14",3.835769,3.92939909090909,0.0936300909090906
"15",3.835524,3.92984454545455,0.0943205454545453
"16",3.8367,3.93034345454545,0.0936434545454548
"17",3.83964,3.92830327272727,0.0886632727272727
"18",3.838317,3.937052,0.098735
"19",3.8397135,3.93350618181818,0.093792681818182
"20",3.839689,3.93306963636364,0.0933806363636362
"21",3.841159,3.93510981818182,0.0939508181818183
"22",3.8391255,3.93122545454545,0.0920999545454544
"23",3.8418205,3.93568890909091,0.0938684090909092
"24",3.842335,3.93557309090909,0.0932380909090904
"25",3.8410855,3.94388527272727,0.102799772727273
"26",3.8420165,3.93830818181818,0.0962916818181823
"27",3.8431925,3.93491381818182,0.0917213181818184
"28",3.8420655,3.93438818181818,0.0923226818181817
"29",3.843217,3.93953763636364,0.0963206363636364
"30",3.845373,3.93631254545455,0.0909395454545456
"31",3.8421145,3.934406,0.0922915
"32",3.8403015,3.93328345454545,0.0929819545454547
"33",3.8423595,3.93593836363636,0.0935788636363637
"34",3.83915,3.93645509090909,0.0973050909090909
"35",3.8412815,3.93666,0.0953784999999998
"36",3.841894,3.93573345454545,0.0938394545454546
"37",3.8449565,3.93644618181818,0.0914896818181821
"38",3.845912,3.94073145454545,0.0948194545454544
"39",3.84454,3.93190254545455,0.0873625454545452
"40",3.8444175,3.93527909090909,0.0908615909090909
"41",3.8413795,3.93763109090909,0.0962515909090911
"42",3.8420165,3.93627690909091,0.0942604090909094
"43",3.845569,3.93975145454545,0.0941824545454542
"44",3.8446135,3.93778254545455,0.0931690454545455
"45",3.841453,3.93706981818182,0.095616818181818
"46",3.8438295,3.94552454545454,0.101695045454545
"47",3.845177,3.94526618181818,0.100089181818181
"48",3.8438785,3.93786272727273,0.0939842272727276
"49",3.8460835,3.94701236363636,0.100928863636363
"50",3.8440745,3.93682927272727,0.0927547727272731
"51",3.8464755,3.94550672727273,0.099031227272727
"52",3.8465245,3.937542,0.0910175
"53",3.8462795,3.93834381818182,0.0920643181818179
"54",3.8383905,3.93079781818182,0.0924073181818179
"55",3.8467695,3.93878036363636,0.0920108636363639
"56",3.8431435,3.93643727272727,0.0932937727272725
"57",3.846451,3.95562745454545,0.109176454545454
"58",3.8670065,3.96387727272727,0.0968707727272728
"59",3.8453485,3.94397436363636,0.0986258636363635
"60",4.0724145,4.16712927272727,0.094714772727273
"61",3.8396645,3.93420109090909,0.0945365909090907
"62",3.8414285,3.93600072727273,0.0945722272727272
"63",3.838121,3.93614327272727,0.098022272727273
"64",3.8417225,3.93589381818182,0.094171318181818
"65",3.8419185,3.93697181818182,0.0950533181818183
"66",3.8462305,3.936758,0.0905274999999999
"67",3.84405,3.93329236363636,0.0892423636363633
"68",3.8409385,3.93688272727273,0.0959442272727271
"69",3.8387335,3.94656690909091,0.107833409090909
"70",3.84013,3.93576018181818,0.0956301818181817
"71",3.839689,3.94462472727273,0.104935727272727
"72",3.8428495,3.93750636363636,0.0946568636363638
"73",3.843266,3.93775581818182,0.0944898181818181
"74",3.845226,3.93802309090909,0.0927970909090909
"75",3.8425065,3.93613436363636,0.0936278636363639
"76",3.8463775,3.939404,0.0930265000000001
"77",3.845618,3.95100363636364,0.105385636363636
"78",3.8455935,3.94868727272727,0.103093772727272
"79",3.846843,3.94343090909091,0.0965879090909092
"80",3.8464265,3.94173818181818,0.0953116818181816
"81",3.841943,3.93576018181818,0.0938171818181819
"82",3.8448585,3.93795181818182,0.0930933181818183
"83",3.845471,3.93805872727273,0.0925877272727273
"84",3.8405955,3.94776963636364,0.107174136363636
"85",3.8416,3.937444,0.095844
"86",3.8481415,3.93849527272727,0.0903537727272732
"87",3.845422,3.93951090909091,0.0940889090909089
"88",3.841502,3.93753309090909,0.0960310909090909
"89",3.8416245,3.93796963636364,0.0963451363636363
"90",3.8394195,3.93702527272727,0.0976057727272726
"91",3.839542,3.93531472727273,0.0957727272727276
"92",3.8424575,3.94133727272727,0.0988797727272726
"93",3.8385865,3.94111454545455,0.102528045454545
"94",3.8443685,3.93732818181818,0.0929596818181819
"95",3.8409385,3.93687381818182,0.0959353181818181
"96",3.838954,3.93845072727273,0.0994967272727276
"97",3.846059,3.94473163636364,0.0986726363636365
"98",3.8443195,3.93780036363636,0.0934808636363633
"99",3.844393,3.94726181818182,0.102868818181818
"100",3.84111,3.943422,0.102312
"101",3.845618,3.93860218181818,0.0929841818181818
"102",4.1692385,4.26179727272727,0.0925587727272728
"103",3.8451035,3.93674909090909,0.0916455909090907
"104",3.8436335,3.95249145454545,0.108857954545455
"105",3.8411345,3.942932,0.1017975
"106",3.842482,3.94156890909091,0.099086909090909
"107",3.844883,3.947538,0.102654999999999
"108",3.8398115,3.93731927272727,0.0975077727272731
"109",3.8396155,3.934602,0.0949865000000001
"110",3.844589,3.93727472727273,0.0926857272727273
"111",3.8432905,3.93879818181818,0.0955076818181819
