Cell,OCV,TailVolt,Diff,Group
77,3.845618,3.9510036363636405,0.105385636363636,3
181,3.857917,3.93674018181818,0.0788231818181817,3
47,3.8451769999999996,3.9452661818181802,0.100089181818181,3
173,3.8576965,3.93713218181818,0.0794356818181821,3
63,3.838121,3.93614327272727,0.09802227272727301,3
140,3.8557365,3.9362323636363596,0.0804958636363637,3
121,3.8405709999999997,3.9368916363636406,0.0963206363636364,3
131,3.8565940000000003,3.9379785454545497,0.0813845454545454,3
35,3.8412815,3.93666,0.0953784999999998,3
125,3.855271,3.93919909090909,0.0839280909090911,3
4,3.832045,3.92625418181818,0.0942091818181816,3
67,3.84405,3.9332923636363595,0.0892423636363633,3
16,3.8367,3.9303434545454503,0.0936434545454548,3
27,3.8431925000000002,3.93491381818182,0.0917213181818184,3
76,3.8463775,3.939404,0.0930265000000001,3
50,3.8440745,3.93682927272727,0.0927547727272731,3
22,3.8391254999999997,3.93122545454545,0.0920999545454544,3
1,3.8345195,3.92792018181818,0.0934006818181818,3
86,3.8481415,3.93849527272727,0.0903537727272732,3
10,3.835524,3.92949709090909,0.0939730909090906,3
193,3.858407,3.94458909090909,0.0861820909090909,3
38,3.845912,3.94073145454545,0.0948194545454544,3
167,3.860122,3.9423974545454503,0.0822754545454543,3
68,3.8409385,3.93688272727273,0.0959442272727271,3
122,3.8563245000000004,3.9372836363636403,0.0809591363636364,3
13,3.8288599999999997,3.92636109090909,0.0975010909090908,3
178,3.8594114999999998,3.93923472727273,0.0798232272727275,3
92,3.8424574999999996,3.94133727272727,0.0988797727272726,3
191,3.858505,3.9370787272727297,0.0785737272727274,4
120,3.8436825,3.9465223636363596,0.102839863636364,4
198,3.857525,3.93653527272727,0.079010272727273,4
51,3.8464755,3.94550672727273,0.099031227272727,4
166,3.8578435,3.93741727272727,0.0795737727272727,4
108,3.8398114999999997,3.93731927272727,0.0975077727272731,4
179,3.8589705000000003,3.939796,0.0808255000000004,4
88,3.8415019999999998,3.93753309090909,0.0960310909090909,4
158,3.865365,3.947636,0.0822709999999995,4
112,3.8422370000000003,3.93709654545455,0.0948595454545456,4
199,3.8614695,3.94706581818182,0.085596318181818,4
48,3.8438785,3.93786272727273,0.0939842272727276,4
149,3.8642870000000005,3.95457618181818,0.0902891818181817,4
98,3.8443195,3.9378003636363594,0.0934808636363633,4
53,3.8462794999999996,3.9383438181818198,0.0920643181818179,4
74,3.8452260000000003,3.93802309090909,0.0927970909090909,4
101,3.845618,3.93860218181818,0.0929841818181818,4
8,3.8343724999999997,3.92612945454545,0.0917569545454548,4
14,3.8357690000000004,3.92939909090909,0.0936300909090906,4
5,3.8327065,3.92245890909091,0.0897524090909094,4
43,3.8455690000000002,3.9397514545454504,0.0941824545454542,4
175,3.8650464999999996,3.94952472727273,0.0844782272727271,4
80,3.8464264999999997,3.94173818181818,0.0953116818181816,4
186,3.8573044999999997,3.93878927272727,0.0814847727272729,4
29,3.8432169999999997,3.9395376363636405,0.0963206363636364,4
194,3.855124,3.9356443636363596,0.0805203636363636,4
115,3.8391745000000004,3.9370787272727297,0.0979042272727271,4
171,3.8580885,3.93753309090909,0.0794445909090906,4
78,3.8455934999999997,3.94868727272727,0.10309377272727199,5
182,3.8591665,3.9379963636363597,0.07882986363636399,5
96,3.838954,3.93845072727273,0.0994967272727276,5
155,3.8626699999999996,3.9421480000000004,0.0794779999999999,5
6,3.831751,3.9294436363636405,0.0976926363636359,5
138,3.8565449999999997,3.93710545454545,0.0805604545454548,5
26,3.8420165,3.93830818181818,0.0962916818181823,5
160,3.8557855000000005,3.9374885454545496,0.0817030454545455,5
65,3.8419185,3.93697181818182,0.0950533181818183,5
163,3.862229,3.94696781818182,0.0847388181818176,5
64,3.8417225,3.9358938181818197,0.09417131818181801,5
12,3.836063,3.9259423636363597,0.0898793636363635,5
75,3.8425065000000003,3.9361343636363597,0.0936278636363639,5
55,3.8467695,3.9387803636363596,0.0920108636363639,5
32,3.8403015,3.93328345454545,0.0929819545454547,5
94,3.8443685,3.93732818181818,0.0929596818181819,5
113,3.8450055,3.9370252727272703,0.0920197727272725,5
33,3.8423595,3.9359383636363594,0.0935788636363637,5
123,3.8559815000000004,3.94597890909091,0.08999740909090899,5
87,3.845422,3.93951090909091,0.0940889090909089,5
180,3.8573779999999998,3.9425845454545496,0.0852065454545454,5
109,3.8396155,3.9346019999999995,0.0949865000000001,5
133,3.8580395,3.94009,0.0820505000000002,5
41,3.8413795,3.93763109090909,0.0962515909090911,5
190,3.8570839999999995,3.93774690909091,0.080662909090909,5
90,3.8394195,3.9370252727272703,0.0976057727272726,5
132,3.8569125,3.93647290909091,0.079560409090909,5
106,3.842482,3.94156890909091,0.09908690909090899,5
