voltage(V),current(A)
3.855712,-0.48
3.852968,-0.47
3.852968,-0.47
3.852772,-0.47
3.852674,-0.47
3.8211180000000002,-0.23
3.8957939999999995,-5.09
3.897068,-5.09
3.897166,-5.09
3.8980479999999997,-5.09
3.898342,-5.09
3.898342,-5.09
3.8993219999999997,-5.09
3.900302,-5.09
3.9006939999999997,-5.09
3.901772,-5.09
3.901968,-5.09
3.902556,-5.09
3.903536,-5.09
3.904418,-5.10
3.904908,-5.10
3.905692,-5.10
3.905594,-5.10
3.90628,-5.10
3.906476,-5.10
3.907162,-5.10
3.906966,-5.10
3.906966,-5.10
3.907554,-5.10
3.907554,-5.10
3.9081420000000002,-5.10
3.9080439999999994,-5.10
3.908338,-5.09
3.9086319999999994,-5.10
3.9094160000000002,-5.10
3.9092199999999995,-5.10
3.9093180000000003,-5.10
3.9101019999999997,-5.09
3.9101019999999997,-5.10
3.9102979999999996,-5.09
3.9109839999999996,-5.09
3.9113759999999997,-5.09
3.9121599999999996,-5.10
3.9120619999999997,-5.09
3.9128459999999996,-5.10
3.9132379999999998,-5.10
3.9133359999999997,-5.10
3.914218,-5.10
3.9151,-5.10
3.9151979999999997,-5.10
3.915688,-5.10
3.915688,-5.10
3.916178,-5.10
3.916276,-5.10
3.9165699999999997,-5.10
3.916374,-5.10
3.9164719999999997,-5.10
3.916864,-5.10
3.9171579999999997,-5.10
3.9170599999999998,-5.10
3.9171579999999997,-5.10
3.917452,-5.10
3.91755,-5.10
3.9178439999999997,-5.10
3.9177459999999997,-5.10
3.918138,-5.10
3.91804,-5.10
3.918138,-5.10
3.91804,-5.10
3.918236,-5.10
3.91853,-5.10
3.9190199999999997,-5.10
3.919118,-5.10
3.919216,-5.10
3.919314,-5.10
3.919804,-5.10
3.920196,-5.10
3.920588,-5.10
3.920784,-5.10
3.921078,-5.10
3.92098,-5.10
3.921176,-5.10
3.921862,-5.10
3.922254,-5.10
3.922548,-5.10
3.922352,-5.10
3.92343,-5.10
3.922842,-5.10
3.923822,-5.10
3.924214,-5.10
