voltage(V),current(A)
3.855124,-0.48
3.851204,-0.47
3.851302,-0.47
3.851498,-0.47
3.8514,-0.47
3.88668,-5.08
3.88766,-5.10
3.888248,-5.10
3.888934,-5.10
3.889424,-5.10
3.88962,-5.10
3.890698,-5.10
3.89109,-5.10
3.8922660000000002,-5.10
3.8932459999999995,-5.10
3.8937359999999996,-5.10
3.8949119999999997,-5.11
3.895892,-5.11
3.8963819999999996,-5.11
3.8960879999999998,-5.11
3.896676,-5.11
3.8968719999999997,-5.11
3.8973619999999998,-5.11
3.8975579999999996,-5.10
3.8975579999999996,-5.10
3.897754,-5.10
3.8980479999999997,-5.10
3.8986359999999998,-5.11
3.8986359999999998,-5.10
3.899028,-5.11
3.899224,-5.10
3.899224,-5.11
3.899714,-5.11
3.900106,-5.11
3.9004,-5.11
3.901086,-5.11
3.901478,-5.11
3.901478,-5.11
3.902066,-5.11
3.902948,-5.11
3.902654,-5.11
3.903536,-5.11
3.904026,-5.11
3.90432,-5.11
3.904908,-5.11
3.90481,-5.11
3.905398,-5.11
3.905692,-5.11
3.906084,-5.11
3.90628,-5.11
3.9068680000000002,-5.11
3.906966,-5.11
3.90677,-5.11
3.907358,-5.11
3.906966,-5.11
3.907358,-5.11
3.907554,-5.11
3.907848,-5.11
3.90775,-5.10
3.907848,-5.11
3.9081420000000002,-5.11
3.90824,-5.11
3.90824,-5.11
3.908828,-5.11
3.9086319999999994,-5.11
3.9091219999999995,-5.11
3.9094160000000002,-5.11
3.9094160000000002,-5.11
3.9098079999999995,-5.11
3.9101999999999997,-5.11
3.9101999999999997,-5.11
3.9103959999999995,-5.11
3.9108859999999996,-5.11
3.9107879999999997,-5.11
3.911768,-5.11
3.9119639999999998,-5.11
3.911866,-5.11
3.912454,-5.11
3.912454,-5.11
3.9134339999999996,-5.11
3.91314,-5.11
3.9135319999999996,-5.11
3.9140219999999997,-5.11
3.9140219999999997,-5.11
3.9147079999999996,-5.11
3.9152959999999997,-5.11
3.9152959999999997,-5.11
3.915492,-5.11
3.9159819999999996,-5.11
3.915492,-5.11
3.91608,-5.11
3.916178,-5.11
3.916178,-5.11
3.916864,-5.11
3.916864,-5.11
3.916668,-5.11
3.9170599999999998,-5.11
3.916962,-5.11
3.9170599999999998,-5.11
3.9170599999999998,-5.11
3.917256,-5.11
3.91755,-5.11
3.9177459999999997,-5.11
3.9178439999999997,-5.11
3.917648,-5.11
3.917452,-5.11
3.9177459999999997,-5.11
3.9178439999999997,-5.11
3.9178439999999997,-5.11
3.918628,-5.11
3.91853,-5.11
3.9184319999999997,-5.11
3.918628,-5.11
3.918726,-5.11
3.918824,-5.11
3.918922,-5.11
3.918824,-5.11
3.919118,-5.11
3.91951,-5.11
3.919902,-5.11
3.9196079999999998,-5.11
3.919902,-5.11
3.9202939999999997,-5.11
3.92049,-5.11
3.920392,-5.11
3.920686,-5.11
3.92098,-5.11
3.921176,-5.11
3.92147,-5.11
3.921666,-5.11
3.921764,-5.11
3.922352,-5.11
3.922058,-5.11
3.922058,-5.11
3.922646,-5.11
3.922842,-5.11
3.923332,-5.11
3.923626,-5.11
3.923626,-5.11
3.924116,-5.11
3.924116,-5.11
3.92392,-5.11
3.924704,-5.11
3.924998,-5.11
3.92539,-5.11
3.92539,-5.11
3.9252920000000002,-5.11
3.925586,-5.11
3.9258800000000003,-5.11
3.9262719999999995,-5.11
3.9261739999999996,-5.11
3.9263699999999995,-5.11
3.926664,-5.11
3.9265660000000002,-5.11
3.926664,-5.11
3.9267619999999996,-5.11
3.9264680000000003,-5.11
3.9267619999999996,-5.11
3.9271540000000003,-5.11
3.9269579999999995,-5.11
3.9272519999999997,-5.11
3.9271540000000003,-5.11
3.9272519999999997,-5.11
3.9270560000000003,-5.11
3.9274479999999996,-5.11
3.9273499999999997,-5.11
3.9277420000000003,-5.11
