voltage(V),current(A)
3.850322,-0.47
3.8472839999999997,-0.46
3.84699,-0.46
3.84699,-0.46
3.847088,-0.46
3.881878,-5.07
3.884328,-5.09
3.8859939999999997,-5.10
3.886484,-5.10
3.886876,-5.10
3.88717,-5.10
3.887856,-5.10
3.888346,-5.10
3.888052,-5.10
3.888542,-5.10
3.889032,-5.10
3.889914,-5.10
3.8897180000000002,-5.10
3.890404,-5.10
3.8909920000000002,-5.10
3.891678,-5.10
3.8925599999999996,-5.10
3.8934420000000003,-5.10
3.89403,-5.10
3.8943239999999997,-5.10
3.8945199999999995,-5.10
3.895402,-5.11
3.89599,-5.10
3.895892,-5.10
3.896676,-5.10
3.8963819999999996,-5.10
3.896676,-5.10
3.8973619999999998,-5.10
3.8975579999999996,-5.10
3.8974599999999997,-5.10
3.897656,-5.10
3.897754,-5.10
3.8980479999999997,-5.10
3.8980479999999997,-5.10
3.8981459999999997,-5.11
3.8982439999999996,-5.11
3.89844,-5.11
3.899126,-5.11
3.899518,-5.10
3.900498,-5.11
3.899812,-5.10
3.9004,-5.11
3.90089,-5.11
3.90089,-5.10
3.902556,-5.11
3.902654,-5.10
3.903242,-5.10
3.903242,-5.10
3.9031439999999997,-5.11
3.903634,-5.11
3.9037319999999998,-5.11
3.904124,-5.11
3.90432,-5.11
3.905496,-5.11
3.905496,-5.11
3.905398,-5.11
3.90579,-5.11
3.906084,-5.11
3.905986,-5.11
3.906084,-5.10
3.906574,-5.11
3.906672,-5.10
3.90677,-5.10
3.90677,-5.10
3.907358,-5.11
3.907554,-5.11
3.907554,-5.10
3.90775,-5.11
3.907848,-5.10
3.90775,-5.10
3.908338,-5.11
3.9079459999999995,-5.10
3.9081420000000002,-5.10
3.908338,-5.10
3.9085339999999995,-5.11
3.908436,-5.10
3.908828,-5.11
3.9090239999999996,-5.10
3.9096119999999996,-5.11
3.9094160000000002,-5.11
3.9099060000000003,-5.11
3.9103959999999995,-5.11
3.9101019999999997,-5.11
3.9101999999999997,-5.11
3.9109839999999996,-5.11
3.9105920000000003,-5.11
3.9115719999999996,-5.11
3.9115719999999996,-5.11
3.911866,-5.11
3.9120619999999997,-5.11
3.913042,-5.11
3.9133359999999997,-5.11
3.9135319999999996,-5.11
3.9134339999999996,-5.11
3.9139239999999997,-5.11
3.914414,-5.11
3.914316,-5.11
3.914414,-5.11
3.915492,-5.11
3.9151979999999997,-5.11
3.9153939999999996,-5.11
3.91559,-5.11
3.9157859999999998,-5.11
3.9158839999999997,-5.11
3.916276,-5.11
3.9164719999999997,-5.11
3.916668,-5.11
3.9164719999999997,-5.11
3.916766,-5.11
3.9165699999999997,-5.11
3.916864,-5.11
3.9171579999999997,-5.11
3.916766,-5.11
3.916668,-5.11
3.9171579999999997,-5.11
3.917256,-5.11
3.917256,-5.11
3.9177459999999997,-5.11
3.91755,-5.11
3.9178439999999997,-5.11
3.9177459999999997,-5.11
3.9178439999999997,-5.11
3.9183339999999998,-5.11
3.917942,-5.11
3.917942,-5.11
3.918236,-5.11
3.9183339999999998,-5.11
3.9184319999999997,-5.11
3.918628,-5.11
3.918628,-5.10
3.918922,-5.11
3.91951,-5.11
3.919216,-5.11
3.919118,-5.11
3.919314,-5.11
3.919314,-5.11
3.919804,-5.11
3.92,-5.11
3.920196,-5.11
3.920196,-5.11
3.920196,-5.11
3.919902,-5.11
3.920784,-5.11
3.92098,-5.11
3.9208819999999998,-5.11
3.921568,-5.11
3.921666,-5.11
3.92147,-5.11
3.922254,-5.11
3.92245,-5.11
3.922842,-5.11
3.92343,-5.11
3.92343,-5.11
3.923528,-5.11
3.92343,-5.11
3.923724,-5.11
3.92343,-5.11
3.924214,-5.11
3.924214,-5.11
3.924214,-5.11
3.924214,-5.11
3.9249,-5.11
3.924704,-5.11
3.9250959999999995,-5.11
3.9252920000000002,-5.11
3.9256839999999995,-5.11
3.925586,-5.11
3.9256839999999995,-5.11
3.925978,-5.11
3.926076,-5.11
3.925978,-5.11
3.9258800000000003,-5.11
3.9262719999999995,-5.11
3.9261739999999996,-5.11
3.9265660000000002,-5.11
3.9265660000000002,-5.11
3.9264680000000003,-5.11
3.9272519999999997,-5.11
3.9268599999999996,-5.11
3.9267619999999996,-5.11
3.9271540000000003,-5.11
3.9272519999999997,-5.11
3.9273499999999997,-5.11
3.9274479999999996,-5.11
3.9272519999999997,-5.11
3.9274479999999996,-5.11
3.9274479999999996,-5.11
3.9274479999999996,-5.10
3.9274479999999996,-5.10
3.9278399999999998,-5.10
3.9276439999999995,-5.10
3.9279379999999997,-5.11
3.9279379999999997,-5.11
3.9281339999999996,-5.11
3.9281339999999996,-5.11
3.9281339999999996,-5.11
3.9287219999999996,-5.11
3.9282319999999995,-5.11
3.9282319999999995,-5.10
3.9279379999999997,-5.10
3.928428,-5.11
3.929016,-5.11
3.9287219999999996,-5.11
3.9285259999999997,-5.11
3.9288199999999995,-5.11
3.9292119999999997,-5.11
3.9292119999999997,-5.11
3.9293099999999996,-5.11
3.9300939999999995,-5.11
3.9294079999999996,-5.11
3.929506,-5.11
3.929604,-5.11
3.9298979999999997,-5.11
3.930192,-5.11
3.930192,-5.11
3.930192,-5.11
3.93029,-5.11
3.9306819999999996,-5.11
3.930976,-5.11
3.930878,-5.11
3.9306819999999996,-5.11
3.9316619999999998,-5.11
3.931564,-5.11
3.932054,-5.11
3.931956,-5.11
3.932152,-5.11
3.9324459999999997,-5.11
3.9325439999999996,-5.11
3.932838,-5.11
3.9331319999999996,-5.11
3.93274,-5.11
3.933426,-5.11
3.933916,-5.11
3.9342099999999998,-5.11
3.934406,-5.11
3.933916,-5.11
3.934406,-5.11
3.9347,-5.11
3.934504,-5.11
3.9349939999999997,-5.11
3.934602,-5.11
3.9349939999999997,-5.11
3.935386,-5.11
3.9354839999999998,-5.11
3.9354839999999998,-5.11
3.9355819999999997,-5.11
3.93568,-5.11
3.935778,-5.11
3.9355819999999997,-5.11
3.935778,-5.11
3.935974,-5.11
3.9355819999999997,-5.11
3.936268,-5.11
3.936464,-5.11
3.936072,-5.11
3.936268,-5.11
3.936464,-5.11
3.9361699999999997,-5.11
3.936954,-5.11
3.936562,-5.11
3.936562,-5.11
3.936856,-5.11
3.936856,-5.11
3.936562,-5.11
3.937248,-5.11
3.937052,-5.11
3.936954,-5.11
3.936856,-5.11
3.937052,-5.11
3.904124,-0.57
3.9037319999999998,-0.57
3.902752,-0.57
3.902164,-0.57
3.902164,-0.57
3.900988,-0.56
3.900302,-0.56
3.9000079999999997,-0.56
3.899518,-0.56
3.8987339999999997,-0.56
3.8981459999999997,-0.56
3.8975579999999996,-0.56
3.897656,-0.56
3.8973619999999998,-0.56
3.8973619999999998,-0.56
3.896676,-0.56
3.8961859999999997,-0.56
3.8961859999999997,-0.56
3.89599,-0.56
3.8954999999999997,-0.55
3.895402,-0.55
3.895402,-0.55
3.8950099999999996,-0.55
3.8945199999999995,-0.55
3.8948139999999998,-0.55
3.8945199999999995,-0.55
3.8950099999999996,-0.55
3.894128,-0.55
3.8937359999999996,-0.55
3.8937359999999996,-0.55
3.8936379999999997,-0.55
