voltage(V),current(A)
3.854536,-0.48
3.849342,-0.47
3.850028,-0.47
3.849636,-0.47
3.850224,-0.47
3.886778,-5.08
3.888052,-5.10
3.888934,-5.10
3.88913,-5.10
3.89011,-5.10
3.8908939999999994,-5.10
3.8919719999999995,-5.10
3.8921680000000003,-5.10
3.8932459999999995,-5.10
3.8942259999999997,-5.10
3.8950099999999996,-5.10
3.8954999999999997,-5.10
3.8961859999999997,-5.11
3.896676,-5.11
3.8969699999999996,-5.11
3.896676,-5.10
3.8969699999999996,-5.11
3.8975579999999996,-5.11
3.897656,-5.10
3.897754,-5.10
3.89795,-5.10
3.898538,-5.11
3.898342,-5.10
3.898538,-5.10
3.899224,-5.11
3.900204,-5.11
3.899616,-5.10
3.900302,-5.11
3.9006939999999997,-5.11
3.901086,-5.11
3.900988,-5.11
3.901674,-5.11
3.9018699999999997,-5.11
3.901968,-5.11
3.90285,-5.11
3.90334,-5.11
3.9037319999999998,-5.11
3.90432,-5.11
3.90432,-5.11
3.905006,-5.11
3.905496,-5.11
3.905986,-5.11
3.905398,-5.11
3.906182,-5.11
3.906476,-5.11
3.90628,-5.11
3.90677,-5.11
3.906672,-5.11
3.907162,-5.11
3.907554,-5.11
3.9074560000000003,-5.11
3.9079459999999995,-5.11
3.907652,-5.11
3.907848,-5.11
3.9081420000000002,-5.11
3.9080439999999994,-5.11
3.9085339999999995,-5.11
3.9085339999999995,-5.11
3.9086319999999994,-5.11
3.9085339999999995,-5.11
3.908828,-5.11
3.9090239999999996,-5.11
3.9094160000000002,-5.11
3.9093180000000003,-5.11
3.9096119999999996,-5.11
3.9102979999999996,-5.11
3.9103959999999995,-5.11
3.9105920000000003,-5.11
3.9110819999999995,-5.11
3.9119639999999998,-5.11
3.9113759999999997,-5.11
3.9122579999999996,-5.11
3.9128459999999996,-5.11
3.9122579999999996,-5.11
3.9127479999999997,-5.11
3.9132379999999998,-5.11
3.913728,-5.11
3.9141199999999996,-5.11
3.914904,-5.11
3.9147079999999996,-5.11
3.9152959999999997,-5.11
3.9157859999999998,-5.11
3.915688,-5.11
3.9159819999999996,-5.11
3.9152959999999997,-5.11
3.9159819999999996,-5.11
3.91608,-5.11
3.916178,-5.11
3.9164719999999997,-5.11
3.916864,-5.11
3.9165699999999997,-5.11
3.916962,-5.11
3.9171579999999997,-5.11
3.9170599999999998,-5.11
3.917354,-5.11
3.917452,-5.11
3.9177459999999997,-5.11
3.917354,-5.11
3.91755,-5.11
3.9178439999999997,-5.11
3.918236,-5.11
3.91804,-5.11
3.9178439999999997,-5.11
3.9183339999999998,-5.11
3.91804,-5.11
3.918236,-5.11
3.9183339999999998,-5.11
3.9184319999999997,-5.11
3.9184319999999997,-5.11
3.918726,-5.11
3.918824,-5.11
3.918922,-5.11
3.919118,-5.11
3.91951,-5.11
3.919804,-5.11
3.91951,-5.11
3.920098,-5.11
3.919902,-5.11
3.920392,-5.11
3.920392,-5.11
3.920098,-5.11
3.9208819999999998,-5.11
3.920784,-5.11
3.921078,-5.11
3.921862,-5.11
3.921568,-5.11
3.922156,-5.11
3.922352,-5.11
3.922352,-5.11
3.92294,-5.11
3.922842,-5.11
3.923038,-5.11
3.923724,-5.11
3.923626,-5.11
3.9240180000000002,-5.11
3.924312,-5.11
3.924508,-5.11
3.9251939999999994,-5.11
3.9252920000000002,-5.11
3.9256839999999995,-5.11
3.925488,-5.11
3.9256839999999995,-5.11
3.9257819999999994,-5.11
3.925978,-5.11
3.9256839999999995,-5.11
3.9261739999999996,-5.11
3.9261739999999996,-5.11
3.9262719999999995,-5.11
3.9264680000000003,-5.11
3.9264680000000003,-5.11
3.926664,-5.11
3.9265660000000002,-5.11
3.9265660000000002,-5.11
3.9271540000000003,-5.11
3.9268599999999996,-5.11
3.9269579999999995,-5.11
3.9270560000000003,-5.11
3.9270560000000003,-5.11
3.9271540000000003,-5.11
3.9270560000000003,-5.11
3.9272519999999997,-5.11
3.9275459999999995,-5.11
3.9275459999999995,-5.11
3.9277420000000003,-5.11
3.9279379999999997,-5.11
3.9279379999999997,-5.11
3.9281339999999996,-5.11
3.9279379999999997,-5.11
3.9280359999999996,-5.11
3.9280359999999996,-5.11
3.92833,-5.11
3.9282319999999995,-5.11
3.9279379999999997,-5.11
3.9282319999999995,-5.11
3.9286239999999997,-5.11
3.928428,-5.11
3.9288199999999995,-5.11
3.929016,-5.11
3.928918,-5.11
3.9286239999999997,-5.11
3.9291139999999998,-5.11
3.9294079999999996,-5.11
3.9294079999999996,-5.11
3.9298979999999997,-5.11
3.929702,-5.11
3.9297999999999997,-5.11
3.9298979999999997,-5.11
3.929604,-5.11
3.930192,-5.11
3.9305839999999996,-5.11
3.93078,-5.11
3.9310739999999997,-5.11
3.931466,-5.11
3.9318579999999996,-5.11
3.9312699999999996,-5.11
3.9318579999999996,-5.11
3.931956,-5.11
3.9323479999999997,-5.11
3.9331319999999996,-5.11
3.9330339999999997,-5.11
3.933524,-5.11
3.93323,-5.11
3.933524,-5.11
3.934112,-5.11
3.934112,-5.11
3.933916,-5.11
3.934504,-5.11
3.934014,-5.11
3.934504,-5.11
3.9349939999999997,-5.11
3.935092,-5.11
3.935092,-5.11
3.9354839999999998,-5.11
3.9354839999999998,-5.11
3.935386,-5.11
3.93568,-5.11
3.935386,-5.11
3.935778,-5.11
3.935386,-5.11
3.935778,-5.11
3.935876,-5.11
3.9361699999999997,-5.11
3.936072,-5.11
3.936562,-5.11
3.936268,-5.11
3.936268,-5.11
3.935974,-5.11
3.93666,-5.11
3.936464,-5.11
3.93666,-5.11
3.93666,-5.11
3.936954,-5.11
3.936856,-5.11
3.9367579999999998,-5.11
3.936954,-5.11
3.936954,-5.11
3.937052,-5.11
3.937248,-5.11
3.937052,-5.11
3.936954,-5.11
3.937346,-5.11
3.937248,-5.11
3.937542,-5.11
3.937542,-5.11
3.937738,-5.11
3.93764,-5.11
3.937836,-5.11
3.937836,-5.11
3.9380319999999998,-5.11
3.9374439999999997,-5.11
3.93813,-5.11
3.937836,-5.11
3.937836,-5.11
3.93764,-5.11
3.937836,-5.11
3.938326,-5.11
3.937836,-5.11
3.93813,-5.11
3.93813,-5.11
3.938816,-5.11
3.93862,-5.11
3.938816,-5.11
3.938718,-5.11
3.939208,-5.11
3.939208,-5.11
3.9396,-5.11
3.939404,-5.11
3.939894,-5.11
3.939404,-5.11
3.90579,-0.57
3.905006,-0.57
3.904614,-0.57
3.904124,-0.57
3.903634,-0.57
3.903536,-0.57
3.902948,-0.57
3.90236,-0.57
3.901968,-0.57
3.9018699999999997,-0.57
3.9012819999999997,-0.57
3.9005959999999997,-0.56
3.899812,-0.56
3.899714,-0.56
3.899224,-0.56
3.8988319999999996,-0.56
3.8987339999999997,-0.56
3.8981459999999997,-0.56
3.897754,-0.56
3.897754,-0.56
3.8973619999999998,-0.56
3.897068,-0.56
3.896676,-0.56
3.8967739999999997,-0.56
3.89599,-0.56
3.89599,-0.56
3.895892,-0.56
3.895402,-0.55
3.8955979999999997,-0.55
3.895402,-0.55
3.895206,-0.55
