voltage(V),current(A)
3.855124,-0.48
3.85238,-0.47
3.8516939999999997,-0.47
3.851988,-0.47
3.8516939999999997,-0.47
3.819158,-0.23
3.8974599999999997,-5.09
3.8982439999999996,-5.09
3.89893,-5.09
3.899812,-5.09
3.9006939999999997,-5.09
3.901478,-5.09
3.902164,-5.09
3.903438,-5.10
3.904124,-5.10
3.90481,-5.10
3.905398,-5.10
3.906084,-5.10
3.907064,-5.10
3.906966,-5.10
3.90726,-5.10
3.907554,-5.10
3.9074560000000003,-5.10
3.907652,-5.10
3.9079459999999995,-5.10
3.9085339999999995,-5.10
3.9090239999999996,-5.10
3.9091219999999995,-5.10
3.909514,-5.10
3.9099060000000003,-5.10
3.9102979999999996,-5.10
3.9103959999999995,-5.10
3.9107879999999997,-5.10
3.911866,-5.10
3.911768,-5.10
3.9127479999999997,-5.10
3.913042,-5.10
3.9129439999999995,-5.10
3.914218,-5.10
3.91559,-5.10
3.9151979999999997,-5.10
3.915492,-5.10
3.9164719999999997,-5.10
3.91608,-5.10
3.916178,-5.10
3.9164719999999997,-5.10
3.916864,-5.10
3.916962,-5.10
3.917452,-5.10
3.917354,-5.10
3.917452,-5.10
3.9177459999999997,-5.10
3.9177459999999997,-5.10
3.9177459999999997,-5.10
3.918138,-5.10
3.9183339999999998,-5.10
3.918138,-5.10
3.918138,-5.10
3.919118,-5.10
3.918922,-5.10
3.919118,-5.10
3.919804,-5.10
3.919706,-5.10
3.920196,-5.10
3.92049,-5.10
3.921078,-5.10
3.920784,-5.10
3.921274,-5.10
3.92147,-5.10
3.922156,-5.10
3.922058,-5.10
3.923136,-5.10
3.922646,-5.10
3.923038,-5.10
3.92392,-5.10
3.924214,-5.10
3.92441,-5.10
3.924998,-5.10
3.924704,-5.10
3.925586,-5.10
3.9258800000000003,-5.10
3.9258800000000003,-5.10
3.9258800000000003,-5.10
3.9264680000000003,-5.10
3.9263699999999995,-5.10
3.926664,-5.10
3.9265660000000002,-5.10
3.9269579999999995,-5.10
3.9268599999999996,-5.10
3.9274479999999996,-5.10
3.9271540000000003,-5.10
3.9268599999999996,-5.10
3.9277420000000003,-5.10
3.9274479999999996,-5.10
3.9274479999999996,-5.10
3.9275459999999995,-5.10
3.9280359999999996,-5.10
3.9276439999999995,-5.10
3.9278399999999998,-5.10
3.9281339999999996,-5.10
3.92833,-5.10
3.928918,-5.10
3.928428,-5.10
3.9292119999999997,-5.10
3.9287219999999996,-5.10
3.9292119999999997,-5.10
3.9294079999999996,-5.10
3.9297999999999997,-5.10
3.929604,-5.10
3.9303879999999998,-5.10
3.93078,-5.10
3.93029,-5.10
3.93078,-5.10
3.931564,-5.11
3.932054,-5.11
3.9316619999999998,-5.11
3.9318579999999996,-5.11
3.9323479999999997,-5.11
3.932838,-5.11
3.9330339999999997,-5.11
3.93274,-5.11
3.933818,-5.11
3.934406,-5.11
3.934504,-5.11
3.934504,-5.11
3.9347,-5.11
3.9348959999999997,-5.11
3.93519,-5.11
3.935386,-5.11
3.93568,-5.11
3.935974,-5.11
3.936268,-5.11
3.9361699999999997,-5.11
3.9361699999999997,-5.11
3.936072,-5.11
3.9361699999999997,-5.11
3.936562,-5.11
3.936562,-5.11
3.93666,-5.11
3.936562,-5.10
3.937052,-5.11
3.93715,-5.10
3.936954,-5.11
3.93715,-5.10
3.937052,-5.10
3.937248,-5.11
3.937248,-5.10
3.937248,-5.10
3.937542,-5.10
3.9374439999999997,-5.10
3.93764,-5.10
3.937738,-5.10
3.937934,-5.10
3.938522,-5.11
3.93813,-5.10
3.93813,-5.10
3.938228,-5.10
3.93862,-5.11
3.93862,-5.11
3.938718,-5.11
3.938914,-5.11
3.939208,-5.11
3.9396,-5.11
3.939404,-5.11
3.939992,-5.11
3.939698,-5.11
3.940286,-5.11
3.940482,-5.11
3.940188,-5.11
3.940972,-5.11
3.94107,-5.11
3.940874,-5.11
3.94107,-5.11
3.941462,-5.11
3.9417560000000003,-5.11
3.941854,-5.11
3.941658,-5.11
3.94205,-5.11
3.94254,-5.11
3.943226,-5.11
3.943128,-5.11
3.943226,-5.11
3.9436180000000003,-5.11
3.943814,-5.11
3.9440099999999996,-5.11
3.9443040000000003,-5.11
3.9444999999999997,-5.11
3.9443040000000003,-5.11
3.9450879999999997,-5.11
3.9448920000000003,-5.11
3.9451859999999996,-5.11
3.9448920000000003,-5.11
3.9452839999999996,-5.11
3.9450879999999997,-5.11
3.94548,-5.11
3.9457739999999997,-5.11
3.9457739999999997,-5.11
3.9456759999999997,-5.11
3.946166,-5.11
3.9458719999999996,-5.11
3.946068,-5.11
3.9459699999999995,-5.11
3.9459699999999995,-5.11
3.9462639999999998,-5.11
3.946166,-5.11
3.946656,-5.10
3.9465579999999996,-5.11
3.9462639999999998,-5.11
3.9470479999999997,-5.11
3.946754,-5.11
3.9470479999999997,-5.11
3.946656,-5.10
3.9469499999999997,-5.11
3.9471459999999996,-5.10
3.947342,-5.11
3.94744,-5.11
3.9471459999999996,-5.10
3.9472439999999995,-5.11
3.9477339999999996,-5.11
3.9476359999999997,-5.11
3.9477339999999996,-5.10
3.9476359999999997,-5.10
3.9475379999999998,-5.11
3.94793,-5.11
3.94744,-5.10
3.948126,-5.11
3.948126,-5.11
3.9483219999999997,-5.11
3.9483219999999997,-5.11
3.9482239999999997,-5.11
3.9482239999999997,-5.10
3.9484199999999996,-5.11
3.9482239999999997,-5.11
3.948714,-5.11
3.9490079999999996,-5.11
3.949204,-5.11
3.9494,-5.11
3.949106,-5.11
3.9496939999999996,-5.11
3.9501839999999997,-5.11
3.949302,-5.11
3.9502819999999996,-5.11
3.950478,-5.11
3.9502819999999996,-5.11
3.9500859999999998,-5.11
3.95038,-5.11
3.950478,-5.11
3.9508699999999997,-5.11
3.9508699999999997,-5.11
3.9513599999999998,-5.11
3.950968,-5.11
3.9513599999999998,-5.11
3.951164,-5.11
3.951066,-5.11
3.9514579999999997,-5.11
3.951752,-5.11
3.951752,-5.11
3.95234,-5.11
3.95234,-5.11
3.952928,-5.11
3.95234,-5.11
3.95283,-5.11
3.952928,-5.11
3.953418,-5.11
3.9533199999999997,-5.11
3.953516,-5.11
3.953712,-5.11
3.953614,-5.11
3.9539079999999998,-5.11
3.9543,-5.11
3.9543,-5.11
3.954202,-5.11
3.95479,-5.11
3.954496,-5.11
3.9129439999999995,-0.59
3.9113759999999997,-0.58
3.9102979999999996,-0.58
3.908828,-0.58
3.908436,-0.58
3.90726,-0.58
3.907064,-0.58
3.906182,-0.57
3.905496,-0.57
3.905594,-0.57
3.905398,-0.57
3.905104,-0.57
3.904418,-0.57
3.90432,-0.57
3.904026,-0.57
3.904026,-0.57
3.903438,-0.57
3.903242,-0.57
3.903438,-0.57
3.903536,-0.57
3.902654,-0.57
3.902752,-0.57
3.9024579999999998,-0.57
3.902164,-0.57
3.901772,-0.57
3.90089,-0.56
3.9012819999999997,-0.57
3.90089,-0.56
3.899714,-0.56
3.899518,-0.56
3.899518,-0.56
