voltage(V),current(A)
3.850714,-0.47
3.84748,-0.46
3.847578,-0.46
3.84748,-0.46
3.847578,-0.46
3.887366,-5.08
3.888346,-5.10
3.888346,-5.10
3.889816,-5.10
3.890208,-5.10
3.8908939999999994,-5.10
3.8918739999999996,-5.10
3.8928540000000003,-5.10
3.8939319999999995,-5.10
3.8948139999999998,-5.10
3.895304,-5.10
3.895892,-5.10
3.8961859999999997,-5.10
3.8967739999999997,-5.10
3.8969699999999996,-5.10
3.897166,-5.10
3.897656,-5.10
3.8980479999999997,-5.10
3.8982439999999996,-5.10
3.898342,-5.10
3.898342,-5.10
3.8988319999999996,-5.10
3.899224,-5.11
3.8993219999999997,-5.10
3.899812,-5.11
3.8999099999999998,-5.11
3.900302,-5.11
3.90089,-5.11
3.901478,-5.11
3.901674,-5.11
3.902752,-5.11
3.902262,-5.11
3.902654,-5.11
3.9037319999999998,-5.11
3.903928,-5.11
3.90481,-5.11
3.904614,-5.11
3.905202,-5.11
3.905496,-5.11
3.905986,-5.11
3.905888,-5.11
3.906378,-5.11
3.906966,-5.11
3.9068680000000002,-5.11
3.9068680000000002,-5.11
3.90726,-5.11
3.90726,-5.11
3.90775,-5.11
3.9080439999999994,-5.11
3.90775,-5.10
3.9081420000000002,-5.11
3.9081420000000002,-5.11
3.90824,-5.11
3.90824,-5.10
3.9090239999999996,-5.11
3.9085339999999995,-5.11
3.9085339999999995,-5.10
3.9092199999999995,-5.11
3.9094160000000002,-5.11
3.9098079999999995,-5.11
3.9098079999999995,-5.11
3.9104939999999995,-5.11
3.9100040000000003,-5.11
3.9103959999999995,-5.11
3.911278,-5.11
3.9113759999999997,-5.11
3.9116699999999995,-5.11
3.9121599999999996,-5.11
3.912454,-5.11
3.9127479999999997,-5.11
3.9129439999999995,-5.11
3.9135319999999996,-5.11
3.913728,-5.11
3.914806,-5.11
3.914414,-5.11
3.914904,-5.11
3.914904,-5.11
3.915492,-5.11
3.9157859999999998,-5.11
3.9159819999999996,-5.11
3.91608,-5.11
3.916178,-5.11
3.916864,-5.11
3.9165699999999997,-5.11
3.9164719999999997,-5.11
3.916864,-5.11
3.917256,-5.11
3.916864,-5.11
3.917256,-5.11
3.917452,-5.11
3.917354,-5.11
3.917354,-5.11
3.9177459999999997,-5.11
3.917452,-5.11
3.917648,-5.11
3.917942,-5.11
3.9178439999999997,-5.11
3.9183339999999998,-5.11
3.91853,-5.11
3.918628,-5.11
3.918726,-5.11
3.918922,-5.11
3.918628,-5.11
3.918824,-5.11
3.918726,-5.11
3.919216,-5.11
3.919804,-5.11
3.92,-5.11
3.919706,-5.11
3.920098,-5.11
3.920098,-5.11
3.920588,-5.11
3.920588,-5.11
3.920686,-5.11
3.92098,-5.11
3.921274,-5.11
3.921176,-5.11
3.921764,-5.11
3.921862,-5.11
3.922156,-5.11
3.922548,-5.11
3.922352,-5.11
3.923038,-5.11
3.923234,-5.11
3.923136,-5.11
3.92392,-5.11
3.923724,-5.11
3.9240180000000002,-5.11
3.924998,-5.11
3.924508,-5.11
3.924802,-5.11
3.9249,-5.11
3.9251939999999994,-5.11
3.9257819999999994,-5.11
3.9257819999999994,-5.11
3.9256839999999995,-5.11
3.925978,-5.11
3.926076,-5.11
3.9262719999999995,-5.11
3.9262719999999995,-5.11
3.926664,-5.11
3.9262719999999995,-5.11
3.9268599999999996,-5.11
3.9268599999999996,-5.11
3.926664,-5.11
3.926664,-5.11
3.9267619999999996,-5.11
3.9270560000000003,-5.11
3.9274479999999996,-5.11
3.9273499999999997,-5.11
