voltage(V),current(A)
3.8563,-0.48
3.854536,-0.48
3.854928,-0.48
3.853948,-0.48
3.854634,-0.48
3.822,-0.22
3.88913,-5.08
3.8908939999999994,-5.09
3.8918739999999996,-5.09
3.8929519999999997,-5.09
3.8943239999999997,-5.09
3.8954999999999997,-5.09
3.8957939999999995,-5.09
3.8962839999999996,-5.09
3.8969699999999996,-5.09
3.897068,-5.09
3.8969699999999996,-5.09
3.897852,-5.09
3.897754,-5.09
3.898342,-5.09
3.89844,-5.09
3.898342,-5.09
3.899126,-5.09
3.8994199999999997,-5.09
3.899126,-5.09
3.900204,-5.09
3.900106,-5.09
3.90138,-5.09
3.9012819999999997,-5.09
3.901674,-5.09
3.901772,-5.09
3.903046,-5.09
3.903536,-5.09
3.90432,-5.10
3.904712,-5.10
3.905006,-5.10
3.905398,-5.10
3.905888,-5.10
3.905594,-5.10
3.90628,-5.10
3.906378,-5.10
3.906574,-5.10
3.906672,-5.10
3.906966,-5.10
3.907358,-5.10
3.907162,-5.10
3.9074560000000003,-5.10
3.90775,-5.10
3.90775,-5.10
3.908338,-5.10
3.9081420000000002,-5.10
3.90824,-5.09
3.908436,-5.10
3.908436,-5.10
3.9087300000000003,-5.10
3.9087300000000003,-5.09
3.9090239999999996,-5.10
3.9090239999999996,-5.09
3.909514,-5.09
3.9099060000000003,-5.09
3.9101999999999997,-5.09
3.9104939999999995,-5.10
3.9106899999999998,-5.09
3.9110819999999995,-5.10
3.9114739999999997,-5.09
3.9120619999999997,-5.10
3.9120619999999997,-5.10
3.9128459999999996,-5.10
3.9134339999999996,-5.10
3.9135319999999996,-5.10
3.91363,-5.10
3.914316,-5.10
3.9141199999999996,-5.10
3.914904,-5.10
3.9151979999999997,-5.10
3.91559,-5.10
3.9157859999999998,-5.10
3.9152959999999997,-5.10
3.91608,-5.10
3.91608,-5.10
3.91608,-5.10
3.9164719999999997,-5.10
3.916374,-5.10
3.916668,-5.10
3.916962,-5.10
3.9171579999999997,-5.10
3.9170599999999998,-5.10
3.9170599999999998,-5.10
3.9171579999999997,-5.10
3.917452,-5.10
3.917354,-5.10
3.9177459999999997,-5.10
3.9178439999999997,-5.10
3.9178439999999997,-5.10
3.918138,-5.10
3.917942,-5.10
3.918138,-5.10
3.9183339999999998,-5.10
3.9183339999999998,-5.10
3.918726,-5.10
3.9184319999999997,-5.10
3.91853,-5.10
3.918628,-5.10
3.919118,-5.10
3.918726,-5.10
3.918824,-5.10
3.91951,-5.10
3.91951,-5.10
3.919706,-5.10
3.9202939999999997,-5.10
3.920098,-5.10
3.92049,-5.10
3.9208819999999998,-5.10
3.920392,-5.10
3.921274,-5.10
3.921078,-5.10
3.92098,-5.10
3.921862,-5.10
3.922352,-5.10
3.922548,-5.10
3.922254,-5.10
3.923136,-5.10
3.92245,-5.10
3.92294,-5.10
3.92343,-5.10
3.924116,-5.10
3.924312,-5.10
3.924312,-5.10
3.9246060000000003,-5.10
3.9246060000000003,-5.10
3.92539,-5.10
3.924802,-5.10
3.9249,-5.10
3.92539,-5.10
3.9256839999999995,-5.10
3.925978,-5.10
3.925586,-5.10
3.9257819999999994,-5.10
3.925978,-5.10
3.9262719999999995,-5.10
3.9264680000000003,-5.10
3.9264680000000003,-5.10
3.9263699999999995,-5.10
3.926664,-5.10
3.9263699999999995,-5.10
3.9268599999999996,-5.10
3.926664,-5.10
3.9271540000000003,-5.10
3.9270560000000003,-5.10
3.9267619999999996,-5.10
3.9272519999999997,-5.10
3.9272519999999997,-5.10
3.9273499999999997,-5.10
3.9273499999999997,-5.10
3.9275459999999995,-5.10
3.9278399999999998,-5.10
3.9277420000000003,-5.10
3.9280359999999996,-5.10
3.9280359999999996,-5.10
3.9275459999999995,-5.10
3.9278399999999998,-5.10
3.928428,-5.10
3.9278399999999998,-5.10
3.92833,-5.10
3.9280359999999996,-5.10
3.9285259999999997,-5.10
3.9285259999999997,-5.10
3.9287219999999996,-5.10
3.9288199999999995,-5.10
3.9288199999999995,-5.10
3.9291139999999998,-5.10
3.9293099999999996,-5.10
3.9293099999999996,-5.10
3.9299959999999996,-5.10
3.9297999999999997,-5.10
3.9297999999999997,-5.10
3.929702,-5.10
3.9300939999999995,-5.10
3.9304859999999997,-5.10
3.93078,-5.10
3.930878,-5.10
3.930976,-5.10
3.931368,-5.10
3.931564,-5.10
3.930878,-5.10
3.9317599999999997,-5.10
3.9317599999999997,-5.10
3.931368,-5.10
3.93274,-5.10
3.93274,-5.10
3.93274,-5.10
3.932642,-5.10
3.932838,-5.10
3.933524,-5.10
3.933524,-5.10
3.933818,-5.10
3.934014,-5.10
3.934406,-5.10
3.934602,-5.10
3.934406,-5.10
3.9343079999999997,-5.10
3.9349939999999997,-5.10
3.9347,-5.10
3.934798,-5.10
3.935288,-5.10
3.93519,-5.10
3.9354839999999998,-5.10
3.935288,-5.10
3.9349939999999997,-5.10
3.93568,-5.10
3.9354839999999998,-5.10
3.9355819999999997,-5.10
3.935974,-5.10
3.935974,-5.10
3.936268,-5.10
3.9361699999999997,-5.10
3.9361699999999997,-5.10
3.935876,-5.10
3.935974,-5.10
3.936072,-5.10
3.936268,-5.10
3.936366,-5.10
3.9367579999999998,-5.10
3.9367579999999998,-5.10
3.936856,-5.10
3.93666,-5.10
3.936562,-5.10
3.936562,-5.10
3.937052,-5.10
3.937052,-5.10
3.936954,-5.10
3.937052,-5.10
3.937346,-5.10
3.93715,-5.10
3.9374439999999997,-5.10
3.9374439999999997,-5.10
3.93764,-5.10
3.9374439999999997,-5.10
3.93764,-5.10
3.937542,-5.10
3.937346,-5.10
3.937738,-5.10
3.937738,-5.10
3.938228,-5.10
3.938228,-5.10
3.937836,-5.10
3.93813,-5.10
3.938228,-5.10
3.9380319999999998,-5.10
3.9380319999999998,-5.10
3.9380319999999998,-5.10
3.938228,-5.10
3.938424,-5.10
3.938424,-5.10
3.938914,-5.10
3.938914,-5.10
3.939404,-5.10
3.938914,-5.10
3.939306,-5.10
3.939306,-5.10
3.9396,-5.10
3.9396,-5.10
3.94009,-5.10
3.939698,-5.10
3.939698,-5.10
3.939894,-5.10
3.94009,-5.10
3.940188,-5.10
3.940188,-5.10
3.94058,-5.10
3.940776,-5.10
3.940776,-5.10
3.940874,-5.10
3.941854,-5.10
3.908926,-0.58
3.906966,-0.58
3.905888,-0.57
3.905692,-0.57
3.905202,-0.57
3.905006,-0.57
3.90432,-0.57
3.904124,-0.57
3.903928,-0.57
3.9037319999999998,-0.57
3.9031439999999997,-0.57
3.902948,-0.57
3.902556,-0.57
3.902556,-0.57
3.901576,-0.57
3.901478,-0.57
3.90138,-0.57
3.9005959999999997,-0.56
3.900302,-0.56
3.9000079999999997,-0.56
3.8986359999999998,-0.56
3.8987339999999997,-0.56
3.89844,-0.56
3.8980479999999997,-0.56
3.89795,-0.56
3.8975579999999996,-0.56
3.896676,-0.56
3.896676,-0.56
3.8963819999999996,-0.56
3.8954999999999997,-0.55
3.895892,-0.56
