voltage(V),current(A)
3.849636,-0.47
3.8466959999999997,-0.46
3.8466959999999997,-0.46
3.8472839999999997,-0.46
3.84699,-0.46
3.885896,-5.08
3.887268,-5.10
3.888248,-5.10
3.88815,-5.10
3.889032,-5.10
3.889424,-5.10
3.890012,-5.10
3.8906,-5.10
3.890698,-5.10
3.891776,-5.10
3.8922660000000002,-5.10
3.8932459999999995,-5.10
3.8943239999999997,-5.10
3.895206,-5.11
3.895892,-5.10
3.8963819999999996,-5.11
3.896578,-5.10
3.897068,-5.11
3.897068,-5.10
3.897754,-5.11
3.8974599999999997,-5.10
3.8974599999999997,-5.10
3.89795,-5.10
3.89844,-5.10
3.89844,-5.10
3.8987339999999997,-5.10
3.8988319999999996,-5.10
3.898538,-5.10
3.899224,-5.11
3.899714,-5.11
3.900106,-5.11
3.900302,-5.11
3.9005959999999997,-5.11
3.901086,-5.11
3.90138,-5.11
3.9018699999999997,-5.11
3.902262,-5.11
3.902948,-5.11
3.903242,-5.11
3.90383,-5.11
3.90432,-5.11
3.904026,-5.11
3.904614,-5.11
3.905496,-5.11
3.905986,-5.11
3.906084,-5.11
3.906378,-5.11
3.906378,-5.11
3.90628,-5.11
3.906574,-5.11
3.906672,-5.11
3.90726,-5.11
3.907162,-5.11
3.9074560000000003,-5.11
3.9074560000000003,-5.11
3.907554,-5.11
3.907358,-5.10
3.9080439999999994,-5.11
3.9079459999999995,-5.11
3.908338,-5.11
3.908338,-5.11
3.9086319999999994,-5.11
3.908926,-5.11
3.9091219999999995,-5.11
3.908926,-5.11
3.9094160000000002,-5.11
3.9096119999999996,-5.11
3.9097099999999996,-5.11
3.9107879999999997,-5.11
3.9102979999999996,-5.11
3.9106899999999998,-5.11
3.9107879999999997,-5.11
3.9116699999999995,-5.11
3.91118,-5.11
3.911866,-5.11
3.912356,-5.11
3.912454,-5.11
3.91314,-5.11
3.9129439999999995,-5.11
3.91314,-5.11
3.913826,-5.11
3.914414,-5.11
3.9145119999999998,-5.11
3.914806,-5.11
3.914316,-5.11
3.9151,-5.11
3.9151979999999997,-5.11
3.9157859999999998,-5.11
3.9159819999999996,-5.11
3.9159819999999996,-5.11
3.916374,-5.11
3.916374,-5.11
3.916374,-5.11
3.916766,-5.11
3.916766,-5.11
3.916668,-5.11
3.916962,-5.11
3.9170599999999998,-5.11
3.917354,-5.11
3.917256,-5.11
3.917452,-5.11
