voltage(V),current(A)
3.85189,-0.47
3.8479699999999997,-0.46
3.848362,-0.47
3.847774,-0.46
3.8485579999999997,-0.47
3.814552,-0.23
3.8853079999999998,-5.09
3.88668,-5.09
3.88717,-5.09
3.88766,-5.09
3.887954,-5.09
3.888542,-5.09
3.88864,-5.09
3.889032,-5.09
3.890012,-5.09
3.889816,-5.09
3.889914,-5.09
3.8907959999999995,-5.09
3.8914819999999994,-5.09
3.891776,-5.09
3.8931479999999996,-5.10
3.8931479999999996,-5.10
3.894716,-5.10
3.895206,-5.10
3.8957939999999995,-5.10
3.8961859999999997,-5.10
3.89648,-5.10
3.89648,-5.10
3.897166,-5.10
3.897166,-5.10
3.897166,-5.10
3.8974599999999997,-5.10
3.897852,-5.10
3.897852,-5.10
3.8981459999999997,-5.10
3.8982439999999996,-5.10
3.89844,-5.10
3.899028,-5.10
3.8987339999999997,-5.10
3.8993219999999997,-5.10
3.8999099999999998,-5.10
3.8993219999999997,-5.10
3.900302,-5.10
3.9005959999999997,-5.10
3.900988,-5.10
3.901086,-5.10
3.901772,-5.10
3.9018699999999997,-5.10
3.902262,-5.10
3.90285,-5.10
3.903536,-5.10
3.90334,-5.10
3.903634,-5.10
3.904614,-5.10
3.904712,-5.10
3.905398,-5.10
3.905202,-5.10
3.905496,-5.10
3.906476,-5.10
3.906476,-5.10
3.906672,-5.10
3.90677,-5.10
3.907064,-5.10
3.907064,-5.10
3.906966,-5.10
3.9074560000000003,-5.10
3.907358,-5.10
3.90775,-5.10
3.907848,-5.10
3.907652,-5.10
3.907848,-5.10
3.90824,-5.10
3.908338,-5.10
3.90824,-5.10
3.9085339999999995,-5.10
3.9081420000000002,-5.10
3.908828,-5.10
3.9091219999999995,-5.10
3.9093180000000003,-5.10
3.9098079999999995,-5.10
3.9098079999999995,-5.10
3.9099060000000003,-5.10
3.9101019999999997,-5.10
3.9103959999999995,-5.10
3.9108859999999996,-5.10
3.9108859999999996,-5.10
3.9116699999999995,-5.10
3.911866,-5.10
3.9120619999999997,-5.10
3.9119639999999998,-5.10
3.912454,-5.10
3.9128459999999996,-5.10
3.9132379999999998,-5.10
3.9139239999999997,-5.10
3.913826,-5.10
3.9145119999999998,-5.10
3.9145119999999998,-5.10
3.9151979999999997,-5.10
3.9152959999999997,-5.10
3.91559,-5.10
3.915688,-5.10
3.9157859999999998,-5.10
3.9159819999999996,-5.10
3.9158839999999997,-5.10
3.916374,-5.10
3.9164719999999997,-5.10
3.9165699999999997,-5.10
3.9165699999999997,-5.10
3.9165699999999997,-5.10
3.916962,-5.10
3.916668,-5.10
3.9170599999999998,-5.10
3.917452,-5.10
3.917256,-5.10
3.9177459999999997,-5.10
3.917648,-5.10
3.9178439999999997,-5.10
3.9178439999999997,-5.10
3.9177459999999997,-5.10
3.918138,-5.10
3.917942,-5.10
3.918138,-5.10
3.918138,-5.10
3.918236,-5.10
3.918628,-5.10
3.9183339999999998,-5.10
3.918824,-5.10
3.918726,-5.10
3.9190199999999997,-5.10
3.919314,-5.10
3.91951,-5.10
3.919314,-5.10
3.91951,-5.10
3.91951,-5.10
3.919804,-5.10
3.920392,-5.10
3.92,-5.10
3.92098,-5.10
3.920686,-5.10
3.920686,-5.10
3.92098,-5.10
3.92147,-5.10
3.921274,-5.10
3.921764,-5.11
3.921862,-5.10
3.922744,-5.10
3.922744,-5.11
3.922254,-5.10
3.922548,-5.10
3.923234,-5.10
3.92294,-5.10
3.92392,-5.11
3.92392,-5.10
3.9240180000000002,-5.11
3.924508,-5.10
3.924312,-5.10
3.924704,-5.11
3.9249,-5.10
3.92539,-5.10
3.925586,-5.10
3.92539,-5.10
3.925488,-5.10
3.9257819999999994,-5.10
3.9257819999999994,-5.10
3.926076,-5.10
3.926076,-5.10
3.9262719999999995,-5.10
3.9265660000000002,-5.10
3.9263699999999995,-5.10
3.9269579999999995,-5.10
3.9268599999999996,-5.10
3.9268599999999996,-5.10
3.9268599999999996,-5.10
3.9270560000000003,-5.10
3.9270560000000003,-5.10
3.9271540000000003,-5.10
3.9271540000000003,-5.10
3.9271540000000003,-5.10
3.9272519999999997,-5.10
3.9273499999999997,-5.10
3.9271540000000003,-5.10
3.9276439999999995,-5.10
3.9272519999999997,-5.10
3.9277420000000003,-5.10
3.9276439999999995,-5.10
3.9278399999999998,-5.10
3.928428,-5.10
3.9281339999999996,-5.10
3.9281339999999996,-5.10
3.9280359999999996,-5.10
3.92833,-5.10
3.92833,-5.10
3.9282319999999995,-5.10
