voltage(V),current(A)
3.856202,-0.48
3.852968,-0.47
3.85287,-0.47
3.853066,-0.47
3.853262,-0.47
3.82151,-0.23
3.889816,-5.09
3.8907959999999995,-5.09
3.8921680000000003,-5.09
3.8929519999999997,-5.09
3.894128,-5.09
3.895402,-5.10
3.89599,-5.10
3.896676,-5.10
3.8967739999999997,-5.10
3.897264,-5.10
3.897656,-5.10
3.8980479999999997,-5.10
3.8981459999999997,-5.10
3.898538,-5.10
3.8988319999999996,-5.10
3.8993219999999997,-5.10
3.899126,-5.10
3.8993219999999997,-5.10
3.900106,-5.10
3.9005959999999997,-5.10
3.9006939999999997,-5.10
3.901772,-5.10
3.9018699999999997,-5.10
3.9024579999999998,-5.10
3.9031439999999997,-5.10
3.904614,-5.10
3.90481,-5.10
3.905398,-5.10
3.9053,-5.10
3.905692,-5.10
3.90628,-5.10
3.906476,-5.10
3.906574,-5.10
3.9068680000000002,-5.10
3.90726,-5.10
3.9074560000000003,-5.10
3.907554,-5.10
3.907652,-5.10
3.9074560000000003,-5.10
3.90775,-5.10
3.9079459999999995,-5.10
3.9079459999999995,-5.10
3.9081420000000002,-5.10
3.908338,-5.10
3.9086319999999994,-5.10
3.9094160000000002,-5.10
3.9091219999999995,-5.10
3.9093180000000003,-5.10
3.9098079999999995,-5.10
3.9099060000000003,-5.10
3.9105920000000003,-5.10
3.9103959999999995,-5.10
3.91118,-5.10
3.9116699999999995,-5.10
3.912552,-5.10
3.912356,-5.10
3.9133359999999997,-5.10
3.913826,-5.10
3.9140219999999997,-5.10
3.914414,-5.10
3.914904,-5.10
3.914806,-5.10
3.9152959999999997,-5.10
3.9152959999999997,-5.10
3.9158839999999997,-5.10
3.9159819999999996,-5.10
3.91608,-5.10
3.916374,-5.10
3.916668,-5.10
3.916178,-5.10
3.916766,-5.10
3.9170599999999998,-5.10
3.9171579999999997,-5.10
3.9171579999999997,-5.10
3.917354,-5.10
3.917354,-5.10
3.917354,-5.10
3.9177459999999997,-5.10
3.917648,-5.10
3.917452,-5.10
3.918138,-5.10
3.917942,-5.10
3.91853,-5.10
3.9183339999999998,-5.10
3.91853,-5.10
3.918628,-5.10
3.918628,-5.10
3.9184319999999997,-5.10
3.919118,-5.10
3.919118,-5.10
3.919216,-5.10
3.919314,-5.10
3.9196079999999998,-5.10
3.919314,-5.10
3.919902,-5.10
3.9202939999999997,-5.10
3.921176,-5.10
3.920784,-5.10
3.921372,-5.10
3.921372,-5.10
3.921568,-5.10
3.921862,-5.10
3.922646,-5.10
3.922744,-5.10
3.923038,-5.10
3.923234,-5.10
3.923724,-5.10
3.924312,-5.10
3.924312,-5.10
3.924704,-5.10
3.9251939999999994,-5.10
3.924704,-5.10
3.925488,-5.10
3.9257819999999994,-5.10
3.9258800000000003,-5.11
3.9258800000000003,-5.10
3.926076,-5.11
3.925586,-5.10
3.9262719999999995,-5.10
3.9264680000000003,-5.10
3.9267619999999996,-5.10
3.926664,-5.10
3.9269579999999995,-5.10
3.9267619999999996,-5.10
3.9273499999999997,-5.10
3.9270560000000003,-5.10
3.9274479999999996,-5.10
3.9274479999999996,-5.10
3.9275459999999995,-5.10
3.9276439999999995,-5.10
3.9271540000000003,-5.10
3.9274479999999996,-5.10
3.9277420000000003,-5.10
3.9279379999999997,-5.10
3.92833,-5.10
3.9282319999999995,-5.10
3.9280359999999996,-5.10
3.9282319999999995,-5.10
3.92833,-5.10
3.9285259999999997,-5.10
3.9288199999999995,-5.10
3.9288199999999995,-5.10
3.9291139999999998,-5.10
